comment_id,video_id,comment_text,comment_date,reply_count,like_count,is_spam_suspected
Ugz-3ucibb_hgK-k7cN4AaABAg,Q9FjwzKFPuM,Hi Ken ! I ' ve graduated from Communication and Media Studies. I have some basic practical skills in programming with Python. In your opinion what should I choose? A Bootcamp or a master?,2021-07-28,1,1,false
UgzZwHu-62bPW-AsBBd4AaABAg,nrEJGGxcoTc,B.tech in cse data science or btech in ai ml which has better scope and diversity?,2021-07-28,1,0,false
Ugyh4M-Ij9pmBjWMayp4AaABAg,PWmxLYTixAM,hey ken from where can i download these resumes ?,2021-07-28,0,0,false
UgwJGuXIJHF8z7Lxt0R4AaABAg,_rbrdNTpZGo,The thumbnail is scary indeed 🤪,2020-07-26,0,0,false
UgzDqd3_pm0DIZDFxxp4AaABAg,_rbrdNTpZGo,Where can i get the wallpaper,2020-07-26,1,0,false
UgxrNWcveYUK1tZP9XB4AaABAg,vy-R4oUZaC8,Thanks for sharing.',2020-07-26,1,0,false
Ugyibu6t219d0bsbyJF4AaABAg,8igH8qZafpo,Thanks to you .From two weeks I was confused where to start in kaggle keep it up👍,2020-07-26,1,0,false
UgxrLq6ZhxqEeSkHliV4AaABAg,hO_YKK_0Qck,I need to improve our find excuses than a non programming background now.',2020-07-26,1,0,false
Ugzl8P89NSdrnA1lEQ54AaABAg,SLC5sPZSLY4,I want to do field measurements on athletes.,2020-07-26,1,0,false
Ugw_d1O1NdofmPDQJQt4AaABAg,_rbrdNTpZGo,how about OS? (Windows or Linux which better?)',2020-07-26,1,0,false
UgyLsHzlbbUU8a35RlN4AaABAg,_rbrdNTpZGo,BinFin for binary finery is my suggestion for your rig's name. What OS or OSes are you going to use?,2020-07-26,1,1,false
UgxPPLPAacxRP_CG4yp4AaABAg,_rbrdNTpZGo,THIS MAN IS LIVING HIS BEST LIFE.,2020-07-26,1,1,false
UgzPyxZFPUnvg8dZ-pN4AaABAg,a3VWq9smqhM,I could only manage step 4 and 5 so far..,2020-07-26,1,4,false
UgzCaVJDNMh1XxI8Bih4AaABAg,PWmxLYTixAM,I just sent an email. I hope you pick mine for one of the coming videos,2020-07-26,2,1,false
Ugx_W8daKYGlpvQmfzV4AaABAg,3Mm1U1CbzNw,I enjoyed watching this video. Keep up the great work.',2019-08-31,5,63,false
UgyxUnqItRa-4LZg9Fd4AaABAg,4CpmB4TR2C4,u jost got urself a fellow data science student subscriber !,2019-07-27,0,9,false
UgwavKOkZkVs9TmNKV54AaABAg,tJI-1mHeXoA,www.louislane.io',2021-02-23,0,0,false
UgwrHt7VWU6YItPag_x4AaABAg,QQLToUlgN7A,256GB is NOT enough! If you had to install several operating systems you'd be screwed!,2021-02-23,1,0,false
Ugy1DVNJRn0OW2mEGu54AaABAg,Ip50cXvpWY4,Awesome video mate. Do you know about some free certificate in statistics? I would really appreciate any info. Greetings!,2021-02-23,1,1,false
UgxL2KqdSaevXSJ7DTV4AaABAg,zSwM5uVeylU,what level of mastery of each would be expected? that's a lot of different things,2021-02-23,1,1,false
UgwHFuGKifx1ZCYlNCV4AaABAg,4qZINLzwYyk,My three favouritesss !!,2021-02-23,2,1,false
Ugz0-J9cou2gxirvE4x4AaABAg,LGEuDWjWQes,#66daysofdata',2021-02-23,2,1,false
Ugyoy7s78_DveEXW6kR4AaABAg,zSwM5uVeylU,That is an excellent overview much needed topic that too in less than 5 minutes.,2021-10-04,2,2,false
