video_surrogate_key,video_id,video_title,video_publish_date,views,watch_time_hours,watch_time_minutes,avg_view_duration_seconds,avg_view_percentage,likes,comments_added,estimated_revenue_usd
85bd68f4-4ae6-4007-8e40-2cddd43473fb,74Z3F7i4qcI,5 Sports Analytics Books to Get You Started,2019-12-13 00:00:00 UTC,7386,322.7721,19366.33,157,36.76,273,27,28.125
c2142fbb-39ea-49e2-9250-f717122111f5,rdo8YBasqqA,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27 00:00:00 UTC,5106,316.0491,18962.95,222,30.52,248,50,16.516
3653e515-55f5-419d-9d73-063c1f90095a,SsGKZe4dVyk,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19 00:00:00 UTC,25141,2833.7374,170024.24,405,18.91,1025,72,105.647
56bed99e-40e6-4e37-947b-d4eeedbf78a5,RRSRKf9eQxc,Should You Get A Masters in Data Science?,2018-11-14 00:00:00 UTC,18488,782.5937,46955.62,152,45.22,276,56,136.708
655fc897-9e3a-497e-9a57-701eb355edca,Q9FjwzKFPuM,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18 00:00:00 UTC,92355,9057.2752,543436.51,353,36.21,2708,239,767.493
be3ec322-c5f8-4c95-985f-4de990bb59b7,5p73cIRYCZg,ProjectDemoCSC478_UFCFightData,2017-06-06 00:00:00 UTC,60,1.0684,64.1,64,8.79,1,0,0.003
c476c686-1c28-4045-bde3-e09ea258838f,oMdVg6GPODA,Why Right NOW is a Great Time to Learn Data Science,2020-03-23 00:00:00 UTC,4027,121.402,7284.12,108,56.53,260,23,15.919
133459e4-8f2b-4641-be0b-f045a5b390db,EAezvs0eL1s,Data Science Fundamentals: Linear Regression,2019-11-29 00:00:00 UTC,4844,393.3973,23603.84,292,12.62,140,20,22.508
c41ea408-624a-4232-8180-691981448c0d,1aXk2RViq3c,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15 00:00:00 UTC,69141,3791.5971,227495.83,197,23.81,2778,93,392.228
b22739cf-0126-49be-9e3a-3bb683f69658,KfpOuSH9gDc,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25 00:00:00 UTC,8832,402.3071,24138.43,163,43.38,416,47,38.723
4adf8ca6-e698-41b6-80b6-42a1c7374801,1FrY7ARSf10,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18 00:00:00 UTC,39347,2609.6311,156577.87,238,37.42,1573,48,207.518
1dc55ecb-7f8b-46e6-ba45-a18bfbaffae0,qP0hRF-lGqg,The Problem with Data Science,2020-02-28 00:00:00 UTC,3301,129.4233,7765.4,141,52.28,137,13,17.01
68d28e26-9fb9-46b2-9362-1c47fd73aa46,uXLnbdHMf8w,Why I'm Starting Data Science Over Again.,2020-08-29 00:00:00 UTC,49564,2148.311,128898.66,156,33.41,2622,375,155.779
85211e20-d8b2-46df-9a40-6afa50a9199a,qV_AlRwhI3I,What is the #66DaysOfData?,2020-12-26 00:00:00 UTC,52921,2070.8803,124252.82,140,29.91,1827,96,228.911
de9d790b-c6e1-4e09-9d94-131378d5d10f,7O4dpR9QMIM,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13 00:00:00 UTC,27648,3189.7254,191383.52,415,15.19,644,58,120.399
9a905734-3e9b-4984-aca8-27f25b1200c8,a-Syoa9mPhM,Take Your Data Science Projects From Good to Great,2019-08-05 00:00:00 UTC,1414,73.6503,4419.02,187,38.74,100,7,4.415
3c94e96e-d683-430a-8ba9-7ae625e71df3,Y_SMU701qlA,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10 00:00:00 UTC,6863,276.7257,16603.54,145,26.93,159,7,19.772
d6065950-4da6-48dc-95c2-c098d108a041,S4Lei5mOppc,How I Learned to Learn.,2021-07-31 00:00:00 UTC,23506,2074.7039,124482.23,317,31.68,1455,71,163.843
1c43a7f5-7df0-45a5-8145-e44e45cffaee,n6MiRgxN5iA,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05 00:00:00 UTC,3092,134.9815,8098.89,157,36.81,189,25,13.118
490ca7e8-2ced-4092-9701-3fb3840cbac6,QWgg4w1SpJ8,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10 00:00:00 UTC,47193,7104.5262,426271.57,541,13.16,1408,85,208.805
84b0f56c-9ce8-4254-b150-719696263453,tG_UW_p0UqE,Is Spotify Shuffle Really Random? #Shorts,2021-07-21 00:00:00 UTC,6579,76.0888,4565.33,41,74.35,385,19,5.974
cf07f2fa-879d-444b-a817-b6ebda1f8a27,mEZ1Hj5yQ-8,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29 00:00:00 UTC,44924,3691.0734,221464.4,295,11.48,1559,131,253.83
80e4862e-3080-4f88-9ead-c82357834576,Z9dGmL2G-4k,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05 00:00:00 UTC,13658,1036.1894,62171.36,273,23.87,420,28,47.361
250c5e74-154c-4c0e-ab48-368d4ea7503e,8Pi36Nj6P9A,What is Pandas? (Data & Data Science) #shorts,2021-04-30 00:00:00 UTC,12931,90.3324,5419.94,25,42.62,489,38,7.744
f54bc8c3-dd1d-42fd-807e-777951b4554f,AqPquogHwq0,Where to Start Learning Data Science,2020-07-03 00:00:00 UTC,16882,616.9814,37018.88,131,49.09,724,58,56.64
9b1b2226-e1c3-4ffe-8d8f-0fc0e3146f52,hOUrxTeBJQc,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23 00:00:00 UTC,48261,3082.4798,184948.79,229,38.26,2252,117,372.245
32d21d76-4dfb-49e7-ac15-f0834f56c29a,tnpV1etgcxs,The PODCAST you might have asked for?,2020-10-19 00:00:00 UTC,1836,26.4346,1586.08,51,37.29,94,39,5.906
cd2bbf76-93cd-46c3-afcb-25929f352692,n3vw0M5RrPU,How I Learned Data Science,2020-01-27 00:00:00 UTC,87169,5043.1516,302589.1,208,25.84,2514,101,699.558
fd7e6103-8f9c-4e5e-bf11-9390997272b6,2OnXytYziF0,What is Sports Analytics Really?,2020-01-20 00:00:00 UTC,13322,679.4159,40764.95,183,44.13,423,34,64.297
b78b4dbc-1bf0-4d13-b3d6-43fa50baea08,VvnOXDCVm8k,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07 00:00:00 UTC,5932,74.4665,4467.99,45,76.6,230,17,6.17
8c04a269-98ad-46fc-a36d-d538011eb7ee,8Vxjp2KVHqs,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21 00:00:00 UTC,8700,598.3585,35901.51,247,26.51,371,31,34.626
a03c894b-3c4c-402c-bbd0-68d1b1a6a75e,78LjdAAw0wA,100K Channel Update + AMA Stream!,2020-11-12 00:00:00 UTC,2291,200.2966,12017.8,314,6.26,130,412,6.113
2841e3c1-9c04-443b-82d4-babb2a31742f,akbU9KOo_Qc,How to Stay Productive & Motivated When Learning Data Science,2019-09-29 00:00:00 UTC,9669,654.2339,39254.03,243,36.25,501,27,41.711
1a579cde-eb78-4ebf-9d95-837448b03754,nrEJGGxcoTc,Is Your Phone REALLY Listening to You?,2021-07-03 00:00:00 UTC,4569,192.1812,11530.87,151,50.14,273,46,19.933
441cc9cb-607e-451e-9105-b8d3da68b798,rEWPqw6rMGI,The Only Data Science Explanation You Need,2022-01-10 00:00:00 UTC,10277,801.5549,48093.29,280,35.49,722,62,60.498
